URL,HELP Include,HELP Cat,HELP Keywords,Include,Header,Depth,Notes,Duplicate slugs
https://mariadb.com/kb/en/information-schema-system_variables-table/,0,,,1,,8,,
https://mariadb.com/kb/en/information-schema-table_constraints-table/,0,,,1,,8,,
https://mariadb.com/kb/en/information-schema-table_privileges-table/,0,,,1,,8,,
https://mariadb.com/kb/en/information-schema-table_statistics-table/,0,,,1,,8,,
https://mariadb.com/kb/en/information-schema-tables-table/,0,,,1,,8,,
https://mariadb.com/kb/en/information-schema-tablespaces-table/,0,,,1,,8,,
https://mariadb.com/kb/en/information-schema-thread_pool_groups-table/,0,,,1,,8,,information-schema-threadpool_groups-table;information-schema-threadpool-groups-table
https://mariadb.com/kb/en/information-schema-thread_pool_queues-table/,0,,,1,,8,,information-schema-threadpool_queues-table
https://mariadb.com/kb/en/information-schema-thread_pool_stats-table/,0,,,1,,8,,information-schema-threadpool_stats-table
https://mariadb.com/kb/en/information-schema-thread_pool_waits-table/,0,,,1,,8,,
https://mariadb.com/kb/en/information-schema-triggers-table/,0,,,1,,8,,
https://mariadb.com/kb/en/information-schema-user_privileges-table/,0,,,1,,8,,
https://mariadb.com/kb/en/information-schema-user_statistics-table/,0,,,1,,8,,
https://mariadb.com/kb/en/information-schema-user_variables-table/,0,,,1,,8,,
https://mariadb.com/kb/en/information-schema-views-table/,0,,,1,,8,,
https://mariadb.com/kb/en/information-schema-wsrep_membership-table/,0,,,1,,8,,
https://mariadb.com/kb/en/information-schema-wsrep_status-table/,0,,,1,,8,,
https://mariadb.com/kb/en/extended-show/,0,,,3,Extended SHOW,7,Already above,
https://mariadb.com/kb/en/time_ms-column-in-information_schemaprocesslist/,0,,,1,,7,,
https://mariadb.com/kb/en/performance-schema/,0,,,1,Performance Schema,6,Category,
https://mariadb.com/kb/en/performance-schema-tables/,0,,,1,Performance Schema Tables,7,Category,
https://mariadb.com/kb/en/list-of-performance-schema-tables/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-accounts-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-cond_instances-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_stages_current-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_stages_history-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_stages_history_long-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_stages_summary_by_account_by_event_name-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_stages_summary_by_host_by_event_name-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_stages_summary_by_thread_by_event_name-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_stages_summary_by_user_by_event_name-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_stages_summary_global_by_event_name-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_statements_current-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_statements_history-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_statements_history_long-table/,0,,,1,,8,,
https://mariadb.com/kb/en/performance-schema-events_statements_summary_by_account_by_event_name-table/,0,,,1,,8,,
